,polygon_id,label_int,label
0,0024a31f-d7eb-4df3-b03f-79ca438a9080_2019-05-31.png,2,100.0_no
1,0024a31f-d7eb-4df3-b03f-79ca438a9080_2021-03-25.png,2,100.0_no
2,0024a31f-d7eb-4df3-b03f-79ca438a9080_2022-07-27.png,2,100.0_no
3,0024a31f-d7eb-4df3-b03f-79ca438a9080_2022-11-24.png,2,100.0_no
4,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-02-28.png,2,100.0_no
5,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-03-21.png,2,100.0_no
6,0024a31f-d7eb-4df3-b03f-79ca438a9080_2023-04-18.png,2,100.0_no
7,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-04-04.png,22,yes_jac
8,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-04-25.png,2,100.0_no
9,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-07-24.png,2,100.0_no
10,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2018-08-27.png,2,100.0_no
11,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2019-02-25.png,2,100.0_no
12,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2019-04-24.png,2,100.0_no
13,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2019-06-27.png,2,100.0_no
14,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2020-05-27.png,2,100.0_no
15,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2020-09-21.png,2,100.0_no
16,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2021-03-25.png,2,100.0_no
17,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2021-07-02.png,2,100.0_no
18,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2021-09-29.png,2,100.0_no
19,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2021-12-28.png,2,100.0_no
20,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2022-10-27.png,2,100.0_no
21,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2022-11-24.png,2,100.0_no
22,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-02-28.png,22,yes_jac
23,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-03-21.png,2,100.0_no
24,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-03-28.png,2,100.0_no
25,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-04-04.png,2,100.0_no
26,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-04-18.png,2,100.0_no
27,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-04-25.png,2,100.0_no
28,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-05-02.png,2,100.0_no
29,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-05-16.png,2,100.0_no
30,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-05-23.png,2,100.0_no
31,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-06-13.png,2,100.0_no
32,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-06-21.png,2,100.0_no
33,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-06-27.png,2,100.0_no
34,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-07-11.png,2,100.0_no
35,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-07-26.png,2,100.0_no
36,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-08-08.png,2,100.0_no
37,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-09-12.png,2,100.0_no
38,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-09-19.png,2,100.0_no
39,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-10-24.png,2,100.0_no
40,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-10-31.png,2,100.0_no
41,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2023-11-14.png,2,100.0_no
42,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2024-02-15.png,2,100.0_no
43,0027e09f-ffc3-49d9-ac29-c0bc405951c3_2024-02-21.png,2,100.0_no
44,00c89fbf-c3b5-479a-a0bc-d34bbd659334_2021-08-25.png,2,100.0_no
45,00c89fbf-c3b5-479a-a0bc-d34bbd659334_2023-08-08.png,2,100.0_no
46,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2019-12-26.png,2,100.0_no
47,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2020-05-27.png,2,100.0_no
48,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2022-07-27.png,2,100.0_no
49,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-04-18.png,2,100.0_no
50,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-05-02.png,2,100.0_no
51,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-05-16.png,2,100.0_no
52,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-06-21.png,2,100.0_no
53,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-06-27.png,2,100.0_no
54,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-07-26.png,2,100.0_no
55,00d26dfc-b0c9-4381-8732-af1f08c8a68e_2023-08-08.png,2,100.0_no
56,01899a37-f35f-4410-9107-6876d3377460_2021-03-25.png,2,100.0_no
57,01899a37-f35f-4410-9107-6876d3377460_2023-03-21.png,2,100.0_no
58,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2021-08-25.png,2,100.0_no
59,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2021-09-29.png,2,100.0_no
60,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2022-04-27.png,2,100.0_no
61,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2022-11-24.png,2,100.0_no
62,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-02-28.png,22,yes_jac
63,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-03-21.png,2,100.0_no
64,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-04-25.png,2,100.0_no
65,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-05-02.png,2,100.0_no
66,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-07-26.png,2,100.0_no
67,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-08-08.png,2,100.0_no
68,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-09-19.png,2,100.0_no
69,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-10-31.png,2,100.0_no
70,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-11-14.png,2,100.0_no
71,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2023-11-27.png,2,100.0_no
72,01a6cd45-e220-4bfe-a71d-13f54d8072ec_2024-02-21.png,2,100.0_no
73,01e9438c-e2c1-4138-8bb4-19beb620a7f0_2023-09-19.png,18,85.0_no
75,02627951-bdea-4eb6-9875-414a3b4956f3_2018-08-27.png,2,100.0_no
76,02627951-bdea-4eb6-9875-414a3b4956f3_2021-02-25.png,4,20.0_no
77,02627951-bdea-4eb6-9875-414a3b4956f3_2021-09-29.png,0,0.0_no
78,02627951-bdea-4eb6-9875-414a3b4956f3_2021-12-28.png,0,0.0_no
79,02627951-bdea-4eb6-9875-414a3b4956f3_2023-06-21.png,0,0.0_no
80,02627951-bdea-4eb6-9875-414a3b4956f3_2023-07-26.png,0,0.0_no
81,02627951-bdea-4eb6-9875-414a3b4956f3_2023-08-08.png,0,0.0_no
82,02627951-bdea-4eb6-9875-414a3b4956f3_2023-09-12.png,0,0.0_no
83,02779188-9032-4cbd-b907-0b39cdf94d36_2023-04-18.png,2,100.0_no
84,028a4d57-5938-4c78-8197-9b0a2a235c46_2023-04-04.png,20,95.0_no
85,028a4d57-5938-4c78-8197-9b0a2a235c46_2023-04-25.png,2,100.0_no
86,039f483a-80d8-42d5-925e-ee94763f72e4_2018-04-25.png,18,85.0_no
87,03df93ce-5900-417f-899b-0bbad17c8599_2020-12-22.png,2,100.0_no
88,03df93ce-5900-417f-899b-0bbad17c8599_2021-07-02.png,2,100.0_no
89,03df93ce-5900-417f-899b-0bbad17c8599_2023-05-02.png,11,50.0_no
91,03df93ce-5900-417f-899b-0bbad17c8599_2023-06-21.png,2,100.0_no
92,03df93ce-5900-417f-899b-0bbad17c8599_2023-09-12.png,2,100.0_no
93,03df93ce-5900-417f-899b-0bbad17c8599_2023-09-19.png,2,100.0_no
94,03df93ce-5900-417f-899b-0bbad17c8599_2023-10-24.png,2,100.0_no
95,03df93ce-5900-417f-899b-0bbad17c8599_2023-10-31.png,2,100.0_no
96,03df93ce-5900-417f-899b-0bbad17c8599_2023-11-14.png,2,100.0_no
97,03e3899e-0c1e-4822-841c-7065f78fba2b_2018-04-04.png,2,100.0_no
98,03e3899e-0c1e-4822-841c-7065f78fba2b_2018-04-25.png,2,100.0_no
99,03e3899e-0c1e-4822-841c-7065f78fba2b_2019-01-28.png,2,100.0_no
100,03e3899e-0c1e-4822-841c-7065f78fba2b_2019-02-25.png,2,100.0_no
101,03e3899e-0c1e-4822-841c-7065f78fba2b_2021-03-25.png,6,30.0_no
