system:index,GlobalID,date,leafing,timestamp,.geo
0,d47b3678-9f11-4811-9930-c969df5fac0e,2024_03_18,Out of Leafs,2024-11-29T14:44:51.781Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,a42f8633-4ba9-41af-b907-f44ea6c492af,2024_03_18,Out of Leafs,2024-11-29T14:44:54.044Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,a30c93d4-9c1c-461d-8690-be2592f775ff,2024_03_18,Out of Leafs,2024-11-29T14:44:58.312Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,585de018-b608-4d42-8103-de304d87c5d6,2024_03_18,Partially Leafed,2024-11-29T14:45:05.741Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,638cafa3-0382-4b6f-915e-d71b660c7c60,2024_03_18,Out of Leafs,2024-11-29T14:45:12.326Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,131edf4c-b018-40a7-a803-0c76df88dc1d,2024_03_18,Out of Leafs,2024-11-29T14:45:16.037Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,fc37b86f-b048-4359-93ff-8e78b6b38712,2024_03_18,Out of Leafs,2024-11-29T14:45:20.773Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,a114c3c2-1bd8-4aa7-8891-3402f47eba0a,2024_03_18,Partially Leafed,2024-11-29T14:45:26.254Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,24a5f646-9ef6-4e62-89fe-963cd03a3d0f,2024_03_06,Out of Leafs,2024-11-29T14:45:38.261Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,a3230e35-8562-4041-b0ae-d6325cdff16c,2024_03_06,Out of Leafs,2024-11-29T14:45:42.298Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,b77bd986-9710-4b49-994d-5ae52e1b5be5,2024_03_06,Out of Leafs,2024-11-29T14:45:47.744Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,a42f8633-4ba9-41af-b907-f44ea6c492af,2024_03_06,Partially Leafed,2024-11-29T14:45:51.692Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,d47b3678-9f11-4811-9930-c969df5fac0e,2024_03_06,Partially Leafed,2024-11-29T14:45:55.349Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,a30c93d4-9c1c-461d-8690-be2592f775ff,2024_03_06,Partially Leafed,2024-11-29T14:45:58.491Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,922bf85b-f020-438d-91b7-86a2b5645b25,2024_03_06,Out of Leafs,2024-11-29T14:46:05.304Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,c1631b71-e3df-4b44-9c62-c587197bd7d4,2024_03_06,Partially Leafed,2024-11-29T14:46:10.442Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,583d55b5-243a-407e-8be2-ca2f9fec135f,2024_02_28,Partially Leafed,2024-11-29T14:46:24.963Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4b9767a5-9fee-4013-b02b-1c86504cfa3c,2024_02_28,Fully Leafed,2024-11-29T14:46:31.141Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,31d95e2f-f47b-49c9-ba99-46e69ba579b5,2024_02_28,Out of Leafs,2024-11-29T14:46:39.082Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,e245daa2-567c-48e7-9619-6d2bf671a98f,2024_02_28,Fully Leafed,2024-11-29T14:46:43.048Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,553c3929-d889-4c5f-947e-7c72d18d1b76,2024_02_28,Fully Leafed,2024-11-29T14:46:45.225Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4c8542e8-ec9d-4d89-bc3d-1d15b96cc9a7,2024_02_28,Partially Leafed,2024-11-29T14:46:50.509Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,05349bf1-e177-489a-a404-e043dbe2060d,2024_02_28,Partially Leafed,2024-11-29T14:46:52.414Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,4c8542e8-ec9d-4d89-bc3d-1d15b96cc9a7,2024_02_21,Partially Leafed,2024-11-29T14:47:04.520Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,05349bf1-e177-489a-a404-e043dbe2060d,2024_02_21,Partially Leafed,2024-11-29T14:47:08.019Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,52309692-ae25-4c0d-96b1-fe02dc607cb4,2024_02_21,Fully Leafed,2024-11-29T14:47:12.363Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,5a079ffa-e211-4364-ba7c-2bc0822e2316,2024_02_21,Fully Leafed,2024-11-29T14:47:15.435Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,52f1f550-4e8b-485f-ad85-de7115173ed9,2024_02_21,Out of Leafs,2024-11-29T14:47:19.823Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,c774b96e-c1a4-47e0-9c36-9bdbe97fc832,2024_02_21,Out of Leafs,2024-11-29T14:47:22.354Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,ccfbdab4-92b2-440b-a773-ef51ecb5e76d,2024_02_21,Fully Leafed,2024-11-29T14:47:24.654Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,70dad7d5-5d36-437f-9887-232392308949,2024_02_21,Out of Leafs,2024-11-29T14:47:31.615Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,fd10f41d-02a4-40b4-90bd-c506ad66acf5,2024_02_21,Fully Leafed,2024-11-29T14:47:36.325Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,fc37b86f-b048-4359-93ff-8e78b6b38712,2024_02_21,Out of Leafs,2024-11-29T14:47:43.518Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,c13b0b46-8b62-4fcf-bc3b-1863606b581d,2024_02_21,Partially Leafed,2024-11-29T14:47:49.552Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0e6d3e00-7797-46fb-b57c-039aca5ce308,2024_02_21,Fully Leafed,2024-11-29T14:47:54.864Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,d47b3678-9f11-4811-9930-c969df5fac0e,2024_02_15,Partially Leafed,2024-11-29T14:48:05.652Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,a42f8633-4ba9-41af-b907-f44ea6c492af,2024_02_15,Partially Leafed,2024-11-29T14:48:08.516Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,c13b0b46-8b62-4fcf-bc3b-1863606b581d,2024_02_15,Out of Leafs,2024-11-29T14:48:11.396Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,b77bd986-9710-4b49-994d-5ae52e1b5be5,2024_02_15,Out of Leafs,2024-11-29T14:48:13.350Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,fc37b86f-b048-4359-93ff-8e78b6b38712,2024_02_15,Out of Leafs,2024-11-29T14:48:20.012Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,80acabb6-ad48-4799-80bc-1a4c0fd71656,2024_02_15,Fully Leafed,2024-11-29T14:48:22.305Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,131edf4c-b018-40a7-a803-0c76df88dc1d,2024_02_15,Out of Leafs,2024-11-29T14:48:27.785Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,eff53f13-567f-4f24-a122-5dbb673f6133,2024_02_15,Partially Leafed,2024-11-29T14:48:38.072Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,c1631b71-e3df-4b44-9c62-c587197bd7d4,2024_02_15,Out of Leafs,2024-11-29T14:48:40.366Z,"{""type"":""MultiPoint"",""coordinates"":[]}"
