,polygon_id,leafing,latin,date,area,tag,iou,score
35,03e3899e-0c1e-4822-841c-7065f78fba2b_2023-05-23,95,Sloanea terniflora,2023_05_23,214.27914363866088,007053,0.745947064,0.967219353
36,03f69786-9e70-408a-a727-7ff0512d0551_2023-05-02,45,Hura crepitans,2023_05_02,979.0947801542156,002033,0.962785132,0.98313725
40,05349bf1-e177-489a-a404-e043dbe2060d_2023-04-04,20,Hura crepitans,2023_04_04,326.14420744595503,001507,0.944685007,0.967913508
49,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-10-31,70,Ceiba pentandra,2023_10_31,310.8790323915189,003608,0.857523705,0.985696316
51,06966454-7ca6-4168-9736-bd76ed153a9d_2023-04-04,95,Luehea seemannii,2023_04_04,328.2271609444962,003219,0.941890784,0.984920025
58,0732ecc5-a138-46a7-bf04-908e86f59c7f_2019-06-27,98,Ceiba pentandra,2019_06_27,818.6697843267117,006647,0.971137658,0.986281514
64,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-03-28,20,Ceiba pentandra,2023_03_28,808.1453342508534,006647,0.966184708,0.976888895
65,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-04-04,99,Ceiba pentandra,2023_04_04,824.2168794065967,006647,0.957931755,0.970438719
69,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-10-31,85,Ceiba pentandra,2023_10_31,810.5613978,006647,0.907062183,0.981601596
75,078e0ab3-42ac-4a64-b96b-09cdf590f024_2018-04-04,4,Dipteryx oleifera,2018_04_04,739.5205981213115,004186,0.891255658,0.972469687
79,078e0ab3-42ac-4a64-b96b-09cdf590f024_2019-04-24,2,Dipteryx oleifera,2019_04_24,705.6642252391313,004186,0.83513329,0.986569881
88,078e0ab3-42ac-4a64-b96b-09cdf590f024_2023-03-07,80,Dipteryx oleifera,2023_03_07,760.1703755391684,004186,0.941412229,0.979532599
89,078e0ab3-42ac-4a64-b96b-09cdf590f024_2023-03-21,10,Dipteryx oleifera,2023_03_21,728.8925589389797,004186,0.931933566,0.978823781
99,078e0ab3-42ac-4a64-b96b-09cdf590f024_2024-01-03,99,Dipteryx oleifera,2024_01_03,825.0323897229733,004186,0.98005289,0.991176367
100,078e0ab3-42ac-4a64-b96b-09cdf590f024_2024-02-08,95,Dipteryx oleifera,2024_02_08,805.0082093,004186,0.937311186,0.990087509
101,078e0ab3-42ac-4a64-b96b-09cdf590f024_2024-02-15,85,Dipteryx oleifera,2024_02_15,800.3984940332864,004186,0.88500573,0.974317789
105,085ee4f5-18d0-4be4-b9b5-367f219b9022_2019-05-31,99,Pouteria reticulata,2019_05_31,242.18828359589278,003444,0.936747928,0.985419035
121,0d1c24b9-4f81-4cc5-bda7-91b228555612_2019-10-17,2,,2019_10_17,266.9135814382712,000000,0.806553144,0.977740049
128,0e6d3e00-7797-46fb-b57c-039aca5ce308_2019-04-24,96,Ceiba pentandra,2019_04_24,1063.397017,007772,0.914952124,0.983270168
129,0e6d3e00-7797-46fb-b57c-039aca5ce308_2019-06-27,96,Ceiba pentandra,2019_06_27,1049.676537927844,007772,0.919816556,0.977058291
134,0e6d3e00-7797-46fb-b57c-039aca5ce308_2023-03-28,99,Ceiba pentandra,2023_03_28,1099.6460947235564,007772,0.93944254,0.971295953
