,isFlowering,leafing,floweringIntensity,segmentation,observation_id,polygon_id,date,globalId,latin
0,no,0,0,good,uuSpGfAUv9LGoSV0uTHn,02627951-bdea-4eb6-9875-414a3b4956f3_2021-09-29,2021_09_29,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
1,no,0,0,good,ngJJ5jT5fi3xH0JPejyX,02627951-bdea-4eb6-9875-414a3b4956f3_2021-12-28,2021_12_28,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
2,no,0,0,good,8IbRoWAKITU5UxQfcygS,02627951-bdea-4eb6-9875-414a3b4956f3_2023-06-21,2023_06_21,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
3,no,0,0,good,iwjPyJmOw1lCI99hO2s8,02627951-bdea-4eb6-9875-414a3b4956f3_2023-07-26,2023_07_26,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
4,no,0,0,good,HmWBWZay7H6aYbiLUOKO,02627951-bdea-4eb6-9875-414a3b4956f3_2023-08-08,2023_08_08,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
5,no,0,0,good,ASeqQ4v2LbVOl1VzXa0b,02627951-bdea-4eb6-9875-414a3b4956f3_2023-09-12,2023_09_12,02627951-bdea-4eb6-9875-414a3b4956f3,Tachigali panamensis
6,no,0,0,good,qljAGhiFjGapoaAnW1mR,04cc5441-f67f-42bf-8dc6-13f1ecdc2e50_2023-04-25,2023_04_25,04cc5441-f67f-42bf-8dc6-13f1ecdc2e50,Guapira standleyana
7,no,0,0,good,ZLZqaYvgZ2zZILES2Esh,05349bf1-e177-489a-a404-e043dbe2060d_2019-02-25,2019_02_25,05349bf1-e177-489a-a404-e043dbe2060d,Hura crepitans
8,no,0,0,good,n6TYdoFb44HBRKewgLkp,05349bf1-e177-489a-a404-e043dbe2060d_2021-02-25,2021_02_25,05349bf1-e177-489a-a404-e043dbe2060d,Hura crepitans
9,no,0,0,good,z8Cpq2o5hRsOjfPOABOz,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2022-11-24,2022_11_24,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
10,no,0,0,good,Xod5w3aZbXwlITK4XWu7,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-02-28,2023_02_28,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
11,no,0,0,good,ivOePmjdlKaxHzY6Grqm,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-03-21,2023_03_21,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
12,no,0,0,good,bzlyxvIfjnmxEt42YbfI,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-03-28,2023_03_28,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
13,no,0,0,good,mFMlNZac7tJMdCXnctS4,06470e14-a7a9-4685-bdf0-14ee6307e7dc_2023-04-04,2023_04_04,06470e14-a7a9-4685-bdf0-14ee6307e7dc,Ceiba pentandra
14,no,0,0,good,isMBAZ4fQpVGVzfG2aDk,06b1e9ec-291f-4534-9ed0-b309b0646b5d_2019-05-31,2019_05_31,06b1e9ec-291f-4534-9ed0-b309b0646b5d,Quararibea stenophylla
15,no,0,0,good,kgNKpgYqHNLEJEGiNpMV,0732ecc5-a138-46a7-bf04-908e86f59c7f_2020-12-22,2020_12_22,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
16,no,0,0,good,ynfjXY49TTQg3oTi53W7,0732ecc5-a138-46a7-bf04-908e86f59c7f_2021-01-27,2021_01_27,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
17,no,0,0,good,5Ac2zN1CSvoLqeeFP8k7,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-11-14,2023_11_14,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
18,no,0,0,good,oYTRDxZt2mBKaWcrjTGN,0732ecc5-a138-46a7-bf04-908e86f59c7f_2023-11-27,2023_11_27,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
19,no,0,0,good,UDlnwcpnUo6hMvTJ51Qr,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-01-03,2024_01_03,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
20,no,0,0,good,snGANUM15xnDwLYrSKaT,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-08,2024_02_08,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
21,no,0,0,good,oKqXuLWMp9Sap2aOHCYF,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-15,2024_02_15,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
22,no,0,0,good,Q94Mq1BTVOJv7BxYENjv,0732ecc5-a138-46a7-bf04-908e86f59c7f_2024-02-21,2024_02_21,0732ecc5-a138-46a7-bf04-908e86f59c7f,Ceiba pentandra
23,no,0,0,good,K5zNX1Ny0MGTLiRwq9qJ,078e0ab3-42ac-4a64-b96b-09cdf590f024_2019-03-25,2019_03_25,078e0ab3-42ac-4a64-b96b-09cdf590f024,Dipteryx oleifera
24,no,0,0,good,pvCbkzIDONOCZzIGOAlB,078e0ab3-42ac-4a64-b96b-09cdf590f024_2023-03-28,2023_03_28,078e0ab3-42ac-4a64-b96b-09cdf590f024,Dipteryx oleifera
25,no,0,0,good,GT4IoV2gcoEItJjP3MMI,078e0ab3-42ac-4a64-b96b-09cdf590f024_2023-04-04,2023_04_04,078e0ab3-42ac-4a64-b96b-09cdf590f024,Dipteryx oleifera
